,Customer ID,recency_score,frequency_score,monetary
0,0004bd2a26a76fe21f786e4fbd80607f,3,1,4
1,000d460961d6dbfa3ec6c9f5805769e1,2,1,1
2,000ed48ceeb6f4bf8ad021a10a3c7b43,3,1,1
3,0010fb34b966d44409382af9e8fd5b77,3,1,2
4,0014a5a58da615f7b01a4f5e194bf5ea,2,1,3
5,0015752e079902b12cd00b9b7596276b,4,1,2
6,001928b561575b2821c92254a2327d06,4,1,3
7,001a2bf0e46c684031af91fb2bce149d,1,1,1
8,001a34eb30ecb8e3aacb07c475ca4dd1,4,1,4
9,001f3c4211216384d5fe59b041ce1461,1,1,1
10,00256bf7b05c08f6a5849df3d0a64f1f,4,1,1
11,0025795df7a7d077c4c90162fa820085,4,1,4
12,002da6dde369f6a8b4c999ed61eb5a87,3,1,2
13,0032ca69771a7758ce643258bb9e4ac7,4,1,2
14,0035029989e6fc5cf030918a5f9f2037,3,1,4
15,003650b504826ea534e02eba0ab58dd5,2,1,1
16,0037d2bbb9ebc39d9114aea27ee16d72,1,1,3
17,003e2af81ea3c72fbdd093f07724a4de,3,1,2
18,004256f082951ec189a4962b6788c214,3,1,4
19,00446a03d7a34d191507c9e42870d0a5,1,1,3
20,0046311f458d8041b00063cb99482903,2,1,3
21,0049a16516d38fc2246696172a257f16,2,1,1
22,004d17fa2cb102a7c4817f040c884e59,2,1,1
23,00522457bba00bba576a34fd9b4808fd,1,1,3
24,00539155ce68fbe677934aebdb17e09b,3,1,2
25,0057f64bff87f4698b4cbd338d62a2a8,4,1,2
26,005ff4ebe100db3eebbe6f7b19a8f99a,1,1,4
27,006031108b00e5f73b2426a50b50f9c0,1,1,4
28,0062adafa3846d9f372d8f1bde591b24,3,1,3
29,0065f6fb341f013a95a8e11cdc98d07a,2,1,3
30,0068bd2e9e76c018846dbc6e2bec5ac5,4,1,2
31,00705dcbc0b9cad67abd658612770905,4,1,1
32,00762eafc5dac5fc1574f91e9b7c9b67,2,1,4
33,00776f3807b128beca64cd0b27138d92,1,1,4
34,0077ba3f829303a1dce98552495c91a1,4,1,3
35,008778a1591d49f6b2464dffaa4fa662,1,1,4
36,008d17333e414049279c7822dfd5f019,1,1,3
37,008fb2ecc75561d202dd4db2e0ceec25,1,1,1
38,0093aeb87eca387dd153f965aa10c060,2,1,3
39,0093dbe7f479386a92095026decf825d,2,1,1
40,0097fca0db567f5ca79509b7b4fc1c2d,3,1,4
41,00a1e8f160b36ccdcbca310933f12a3b,2,1,1
42,00a7d14cb10e11b7f7d65120a7e3942f,1,1,2
43,00ab80210f1875276065f3c1911a2110,3,1,1
44,00adeda9b742746c0c66e10d00ea1b74,2,1,4
45,00ae50eb5e1d2514f694dee1dcbbd5ae,3,1,4
46,00b1066a65657ee1759544f6b61a4e2c,3,1,2
47,00b1d2492b4127598629f19a22a32be8,2,1,3
48,00b72937dcd829c0d8ca72ec77cd073c,1,1,3
49,00b8076004092a29c2c934570c356fc7,3,1,4
50,00bc6cf36e50f21a8478d86721c07aa5,3,1,2
51,00bd194837f2ad36d45985a6205df78a,3,1,4
52,00c3c74b09b2022ac2c0f43bb09797b4,2,1,2
53,00cac13832bd0a8b6f50f6a36b053223,4,1,4
54,00cc12a6d8b578b8ebd21ea4e2ae8b27,1,1,3
55,00cc8551c0621bc65a440e836bb652d7,1,1,2
56,00cf2f12497614285e5dbfb77d6dd312,3,1,4
57,00da34ebf22b87f6c2f53dc069f237df,3,1,4
58,00dba3af1366ca8114a40bc83021f5e9,2,1,3
59,00df047af693b421c167e27932bfd6c5,4,1,4
60,00e04d8e3aaa5ffab327612642ab4564,2,1,2
61,00e8de2edf1a4ac05a65e36b4682cd9e,3,1,3
62,00eba9372ced7769c4b9f234923d73cc,2,1,1
63,00ec23a308504080697e5204d3dbcb2c,2,1,3
64,00ec5df43edcae768361caa707fded3e,2,1,2
65,00ecc71175078e2cac5547a5656e9622,1,1,4
66,00f7a39823c05d6a0675aa6dd276bfb0,4,1,1
67,00f8151e6b5d1b3710527075ef845a88,2,1,4
68,00fb8f6787f67bd33c7e86c9691d2b1c,2,1,4
69,00fb957ae14ffd35a3211d8aa6d9cf9c,3,1,2
70,0101da21926315ddd81d190e0ec40440,2,1,3
71,0105c53fe2f742999dcb90ca99f4bfba,2,1,1
72,010d3cb666c64c115a144d3e6fcbd1d8,2,1,1
73,0113282a7fe79b3d8489193ccc601efb,3,1,3
74,011620d7c45f4d1599c68b2f19e4b73e,2,1,1
75,011875f0176909c5cf0b14a9138bb691,1,1,4
76,011fd4914a2d19b2a0e50c29cea5c6a2,1,1,4
77,0121107a0cebf91b6af74f8a4ab3c4d9,2,1,1
78,012216caf4f1082ba3fc02e584de9a29,2,1,4
79,012452d40dafae4df401bced74cdb490,3,1,4
80,0125fb08af5c9dd55731090aafc63ac8,3,1,2
81,012755131a5b785b0ae3291c339a9051,3,1,4
82,0134417784b9f85470e635c063152a71,3,1,3
83,0134caf89be2059cfd79af28d8bc1e7f,4,1,2
84,013689381e404bf6304f57bab4b8f01d,4,1,4
85,0138dff42973f40e8f5225472526f278,3,1,4
86,013a435769899074c568863694560449,3,1,4
87,0145bfdfe85402b2249c7437bd297a07,2,1,2
88,0145fc4d376df22449756022b9ccb472,4,1,1
89,014644ae002bacd78bb05521f7e9aaab,3,1,1
90,014ce9c0a3df00f77a6932a7b371a3bc,4,1,1
91,014e4042a6b3ed0b1a6cd14c7639bb84,3,1,4
92,014f7e8caea3379aa3d30558424ca54f,4,1,1
93,0151bcc17b8ae63a495b6c9fe6f708a1,3,1,2
94,0152897024d0ddad70baafe17ed705f4,3,1,2
95,01561f92006fd3ba8a8a4246b7f38101,1,1,4
96,016846e2dd862cba9a2a10eff5ac244f,1,1,4
97,0177f6975b155c814ea6273eccc58d82,3,1,4
98,0178fa4e501691dec0663f439950d4de,2,1,1
99,017ae1edebbc1749a64a520e37633c3c,3,1,4
100,017c61c786dae249f339e690764ec7e6,1,1,2
101,017d9afa17ebea3b2a7c03ed6bc954be,1,1,1
102,017eb8439a0ca7dcfc228f933bd204d8,3,1,1
103,01858f2fad256b1689f5bdafc059f745,4,1,4
104,01873d3c2fc620aa701e30d2c4181673,3,1,4
105,018864afd6d3af6af6e3cf1245fc5ff8,3,1,1
106,01886ef98f995e4f2dd75a1d04c97397,3,1,1
107,018ad5828f8f66b69604caabd0aa78ca,1,1,1
108,01922cf678f7c6d925421a273a885fbf,4,1,3
109,0192a97d19fd891f0a4453609753b886,4,1,3
110,019322e670d197f31413176b865880fd,1,1,1
111,0195c54646cda6452f5e1a0474f3b502,3,1,2
112,0197bf8828afdb5ef6a6f7446a52607e,2,1,4
113,019c20bc411068e6f296cd471ac8425b,2,1,2
114,019ee3ac31baf4383471c760125e2977,4,1,1
115,01a379e7c61f254c6c1bfc842b4d9416,2,1,3
116,01aae089a9f716c2d948a24c5406603d,2,1,2
117,01ae3897d0da657af5dc0b0dab9df7dc,2,1,1
118,01b42ac9d3801e6edf67f7a95f04a838,4,1,2
119,01bdeb2c0f524bb2119a8c0cd5419f5f,2,1,2
120,01c64acc2efd27442844ed61dd9981cc,3,1,1
121,01c92cf65b66be2fb861a163d4830f5a,3,1,4
122,01d46b5cad3cda9c22f52df41197a671,1,1,1
123,01d7b0d6f8958188afa680d75dd47919,4,1,4
124,01ec66cacd4c45d04f9ee2a1c25bb20b,1,1,2
125,01f1af590b3fa6e09ee79551635926b4,2,1,4
126,01f492ebceb9747c71cb86d983afb9e0,3,1,1
127,01f7f7e1b4aefac99dea303f9eb5f7c4,3,1,2
128,0206671ca1e6cea41033a21774bef222,3,1,2
129,0209f290b5451d357308bc0e90521026,4,1,4
130,02105a58e384edb89a9827dfd3b8173b,3,1,3
131,021ac5734c4f62601583998bf0de4e03,3,1,4
132,0220755d57fdf6a1f63f39f51bb5fb90,3,1,1
133,02220c4df207c6277c269f0b3a05c7cd,2,1,3
134,02251550f4d16aca44ce66e4263c0522,1,1,3
135,0225a15f6d472b6aff9f2ea45e9a563f,4,1,2
136,022609268add6b353d31185c5ff813c8,4,1,4
137,022ac7dfecd0b4f6019415c4a0fe6d03,3,1,3
138,023196e0c7c9f50e21677e45cc6d539a,2,1,3
139,02399dafe5a38655445fb46ec2499071,3,1,1
140,024676cef113f6c81db6c5b8d29e5ee9,3,1,4
141,0248acdec0648791650de14b758df203,2,1,3
142,024ab3d97dd522b7f5173b905628f9fd,3,1,3
143,024e448ec8650b88a45e9f6049eec02b,3,1,1
144,0258ab8ce9fe72c23efb37dd0dcf1307,1,1,1
145,025bc857299fac3e5c699322d2a1485d,1,1,1
146,025ef887ab57255584e60873ea086144,3,1,1
147,026e135c007282454338db204e44381f,2,1,2
148,027497dedcbd1792aba7aadf6677d2a4,3,1,2
149,027d053c7d8203f3ebb4512da23681fb,2,1,4
150,027ef1dce56b52802c3d35cd5beda928,2,1,2
151,0280c3bae373e59fd0f564cf9b0188a1,1,1,1
152,028296541bfb0fe84ab460804e4c0dce,2,1,4
153,0283d9c78c980d3ea0fce611bbc8ad5b,3,1,4
154,0284ca4015977edc8413c917b8e68355,1,1,2
155,02900dde8414f41aa7e3e6394eb08871,2,1,3
156,0294560ad384ad92c9aff267bbbd9406,3,1,1
157,0294bdc2d323f7399d6c38690095e94b,3,1,2
158,02a12dc286c290872d5a263fb9af0dfd,4,1,2
159,02a3fc88421c4bb19b14420b7d1b6bd3,2,1,2
160,02a6a137ef7fe2414c9e14fc4d060790,3,1,4
161,02a8100f33055beec4d219c04e7d4318,4,1,3
162,02aa4845dc6ee08624bcc899ad684b33,1,1,2
163,02ab167135d5d29cdc77b3147d75c1ef,1,1,1
164,02b20b7c813efede140142ac610e36dc,3,1,4
165,02b2ee0aa7ac4b3db5463ec3863ff8f7,3,1,1
166,02b741ab4dd2d378208995cbd59d4926,1,1,3
167,02b9defff3fd946df37af806a194a49b,2,1,1
168,02c233db34d21b47050e9db36aeec3ff,1,1,4
169,02c2adcfacd7ead855d2497e0d8eecae,2,1,4
170,02c50bd7d8493f3db0d49f4201ba0384,2,1,3
171,02ce431b0797023384d47edad5dd7284,2,1,4
172,02d4b41ec93694d2e59f380190827a3e,1,1,1
173,02d8fe1b66a7acab244d923285407cc7,2,1,1
174,02daaa0e021d624d1784c4ea5cc84ace,2,1,4
175,02dae28f5d185f91a95c80fb5d6f8c35,4,1,3
176,02e090052258dc8c675daf152e22afed,3,1,2
177,02e0ab6a1eca5f017932ae3cd0953b88,2,1,1
178,02e698078df64c35152a88cfe52d29fe,1,1,4
179,02e6a8a86c74efabd650f01e0c460a1d,1,1,4
180,02e7d568f699b57b0bbb98cef89e0832,4,1,3
181,02e9109b7e0a985108b43e573b6afb23,3,2,4
182,02eef439542105011bdcfc4e5deba50b,2,1,2
183,02f2809daffe06aab984d4e8b44955a9,2,1,1
184,02f2a9dabd3fde0b87ebfe1bf62915c7,2,1,3
185,02f48e6162070920cbb44ea74b892b9d,3,1,3
186,02f9070c2ed9e6fc09b8a6723318ce9b,1,1,4
187,02fb446e82415f8d22a44a8dd49c1954,1,1,4
188,03001238832a9f1baa04ac2d050d6f47,4,1,2
189,030fbdd408131cb4235b5b7f241d727e,1,1,2
190,0313e1d33a88fd765653f4464a387aa7,2,1,1
191,0318f66ddf6aa615fdb10d6d7b596194,4,1,4
192,031e19fc630c4121f1238716f41675c3,4,1,1
193,031ea691b99fc101dcad357d1a83573f,1,1,2
194,03241d5fec570b04acb3869bb343d8cb,4,1,3
