customer_unique_id,recency,frequency,monetary,RFM_score,ClusterID
0004bd2a26a76fe21f786e4fbd80607f,3,1,4,314,2
000d460961d6dbfa3ec6c9f5805769e1,2,1,1,211,0
000ed48ceeb6f4bf8ad021a10a3c7b43,3,1,1,311,3
0010fb34b966d44409382af9e8fd5b77,3,1,2,312,3
0014a5a58da615f7b01a4f5e194bf5ea,2,1,3,213,1
0015752e079902b12cd00b9b7596276b,4,1,2,412,3
001928b561575b2821c92254a2327d06,4,1,3,413,2
001a2bf0e46c684031af91fb2bce149d,1,1,1,111,0
001a34eb30ecb8e3aacb07c475ca4dd1,4,1,4,414,2
001f3c4211216384d5fe59b041ce1461,1,1,1,111,0
00256bf7b05c08f6a5849df3d0a64f1f,4,1,1,411,3
0025795df7a7d077c4c90162fa820085,4,1,4,414,2
002da6dde369f6a8b4c999ed61eb5a87,3,1,2,312,3
0032ca69771a7758ce643258bb9e4ac7,4,1,2,412,3
0035029989e6fc5cf030918a5f9f2037,3,1,4,314,2
003650b504826ea534e02eba0ab58dd5,2,1,1,211,0
0037d2bbb9ebc39d9114aea27ee16d72,1,1,3,113,1
003e2af81ea3c72fbdd093f07724a4de,3,1,2,312,3
004256f082951ec189a4962b6788c214,3,1,4,314,2
00446a03d7a34d191507c9e42870d0a5,1,1,3,113,1
0046311f458d8041b00063cb99482903,2,1,3,213,1
0049a16516d38fc2246696172a257f16,2,1,1,211,0
004d17fa2cb102a7c4817f040c884e59,2,1,1,211,0
00522457bba00bba576a34fd9b4808fd,1,1,3,113,1
00539155ce68fbe677934aebdb17e09b,3,1,2,312,3
0057f64bff87f4698b4cbd338d62a2a8,4,1,2,412,3
005ff4ebe100db3eebbe6f7b19a8f99a,1,1,4,114,1
006031108b00e5f73b2426a50b50f9c0,1,1,4,114,1
0062adafa3846d9f372d8f1bde591b24,3,1,3,313,2
0065f6fb341f013a95a8e11cdc98d07a,2,1,3,213,1
0068bd2e9e76c018846dbc6e2bec5ac5,4,1,2,412,3
00705dcbc0b9cad67abd658612770905,4,1,1,411,3
00762eafc5dac5fc1574f91e9b7c9b67,2,1,4,214,1
00776f3807b128beca64cd0b27138d92,1,1,4,114,1
